Individual_number,Species,Locality,Year,Month,Data,Total_length_mm,Weight_g,Water_salinity,Water_temperature,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements
117,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,20.52,3.47,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
118,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,14.19,1.02,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
119,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,7.05,0.14,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
120,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,21.95,3.44,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
121,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,18.47,2.45,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
122,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,19.7,2.85,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
123,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,16.32,1.84,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
124,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,18,2.55,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
125,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,7.6,0.18,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
126,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,4.67,0.04,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
127,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,14.55,1.09,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
128,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,15.4,1.69,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
129,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,18.1,2.94,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
130,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,17.25,2.43,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
131,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,10.86,0.45,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
132,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,11.02,0.55,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
133,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,16.42,2.12,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
134,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,18.04,1.99,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
135,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,14.73,1.1,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
136,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,12.48,0.61,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
137,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,15.33,1.73,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
138,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,20.02,3.13,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
139,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,8.54,0.27,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
140,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,17.69,2.21,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
141,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,13.4,0.66,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
142,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,18.72,2.46,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
143,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,17.06,2.23,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
144,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,15.49,1.51,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
145,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,11.27,0.35,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
146,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,15.24,1.66,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
147,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,7.12,0.09,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
148,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,11,0.33,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
149,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,11.11,0.46,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
150,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,11.45,0.47,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
151,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,9.95,0.37,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
152,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,15.83,1.57,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
153,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,11.47,0.4,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
154,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,11.62,0.41,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
155,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,16.74,1.78,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
156,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,16.62,1.87,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
157,Phorcus sauciatus,mainland Portugal,2018,3,06/03/2018,10.13,0.42,35,15.3,Monte Clérigo,37°20.47'0.23''N,8°51.17'0.24''E,Full access,Far
